guid,source_id,doc_id,scale,raw_text,text,text_lemmatized,lexical,structural,other,label,big_5_mapped_label
icomeupwithboldplans,IPIP,Q3275,AB5C,I come up with bold plans.,i come up with bold plans,i come up with bold plan,1,1,1,big5_item,openness
icomeupwithgoodsolutions,IPIP,Q927,NEO-PI-R,I come up with good solutions.,i come up with good solutions,i come up with good solution,0,1,1,big5_item,conscientiousness
icomeupwithnewwaystodothings,IPIP,Q2489,VIA,I come up with new ways to do things.,i come up with new ways to do things,i come up with new way to do thing,0,0,1,other_item,openness
icomeupwithsomethingnew,IPIP,Q4937,HEXACO,I come up with something new.,i come up with something new,i come up with something new,0,0,1,big5_item,openness
icomeupwithunworkableplans,IPIP,Q2911,CPI,I come up with unworkable plans.,i come up with unworkable plans,i come up with unworkable plan,0,0,1,other_item,conscientiousness
icommentloudlyaboutothers,IPIP,Q3276,AB5C,I comment loudly about others.,i comment loudly about others,i comment loudly about other,1,1,1,big5_item,agreeableness
icompletemydutiesassoonaspossible,IPIP,Q2181,QB6,I complete my duties as soon as possible.,i complete my duties as soon as possible,i complete my duty as soon as possible,0,0,0,other_item,conscientiousness
icompletetaskssuccessfully,IPIP,Q3277,AB5C,I complete tasks successfully.,i complete tasks successfully,i complete task successfully,1,1,1,big5_item,conscientiousness
iconformtoothersopinions,IPIP,Q6190,7FACTOR,I conform to others opinions.,i conform to others opinions,i conform to other opinion,1,1,1,big5_item,agreeableness
iconfusefantasieswithrealmemories,IPIP,Q1400,IPIP,I confuse fantasies with real memories.,i confuse fantasies with real memories,i confuse fantasy with real memory,0,0,0,other_item,neuroticism
iconsidermymotivesbeforeacting,IPIP,Q1602,IPIP,I consider my motives before acting.,i consider my motives before acting,i consider my motive before acting,0,0,0,other_item,neuroticism
iconsidermyselfadisabledperson,IPIP,Q2169,IPIP,I consider myself a disabled person.,i consider myself a disabled person,i consider myself a disabled person,0,0,0,other_item,extraversion
iconsidermyselfanaverageperson,IPIP,Q3278,AB5C,I consider myself an average person.,i consider myself an average person,i consider myself an average person,1,1,1,big5_item,openness
iconsidermyselfgoodlooking,IPIP,Q2180,IPIP,I consider myself good looking.,i consider myself good looking,i consider myself good look,0,0,0,other_item,extraversion
iconsidermyselfold,IPIP,Q2294,IPIP,I consider myself old.,i consider myself old,i consider myself old,0,0,0,other_item,extraversion
iconsidermyselftobeawiseperson,IPIP,Q2637,VIA,I consider myself to be a wise person.,i consider myself to be a wise person,i consider myself to be a wise person,0,0,1,other_item,neuroticism
iconsiderothersadvice,IPIP,Q1699,IPIP,I consider others advice.,i consider others advice,i consider other advice,0,0,0,other_item,agreeableness
iconsiderothersopinions,IPIP,Q1714,IPIP,I consider others opinions.,i consider others opinions,i consider other opinion,0,0,0,other_item,agreeableness
iconsultthelibraryortheinternetimmediatelyifiwanttoknowsomething,IPIP,Q2600,VIA,I consult the library or the internet immediately if I want to know something.,i consult the library or the internet immediately if i want to know something,i consult the library or the internet immediately if i want to know something,0,0,1,other_item,openness
icontinueuntileverythingisperfect,IPIP,Q377,AB5C,I continue until everything is perfect.,i continue until everything is perfect,i continue until everything be perfect,1,1,1,big5_item,conscientiousness
icontradictothers,IPIP,Q3280,AB5C,I contradict others.,i contradict others,i contradict other,1,1,1,big5_item,agreeableness
icontrolothersbymyanger,IPIP,Q2512,IPIP,I control others by my anger.,i control others by my anger,i control other by my anger,0,0,0,other_item,neuroticism
icopyothers,IPIP,Q5987,7FACTOR,I copy others.,i copy others,i copy other,1,1,1,big5_item,agreeableness
icouldbeasuccessinmanyfields,IPIP,Q2371,HPS,I could be a success in many fields.,i could be a success in many fields,i could be a success in many field,0,0,0,other_item,extraversion
icouldeasilylivewithouthavingsex,IPIP,Q5748,CAT-PD,I could easily live without having sex.,i could easily live without having sex,i could easily live without have sex,0,0,0,other_item,extraversion
icouldneverstoplovingmyfamilyandclosefriendsnomatterwhattheydid,IPIP,Q2501,VIA,I could never stop loving my family and close friends no matter what they did.,i could never stop loving my family and close friends no matter what they did,i could never stop love my family and close friend no matter what they do,0,0,1,other_item,agreeableness
icouldnotgetgoing,IPIP,Q2007,CES-D,I could not get going.,i could not get going,i could not get go,0,0,0,other_item,neuroticism
icountonotherstoomuch,IPIP,Q1909,IPIP,I count on others too much.,i count on others too much,i count on other too much,0,0,0,other_item,neuroticism
icounterothersarguments,IPIP,Q464,16PF,I counter others arguments.,i counter others arguments,i counter other argument,0,0,1,other_item,openness
icravetheexperienceofgreatart,IPIP,Q2668,VIA,I crave the experience of great art.,i crave the experience of great art,i crave the experience of great art,0,0,1,other_item,openness
icreateproblemsforothers,IPIP,Q1763,IPIP,I create problems for others.,i create problems for others,i create problem for other,0,0,0,other_item,agreeableness
icreatesomethingofvalueoutofnothing,IPIP,Q1691,IPIP,I create something of value out of nothing.,i create something of value out of nothing,i create something of value out of nothing,0,0,0,other_item,openness
icriticizeothersshortcomings,IPIP,Q3281,AB5C,I criticize others shortcomings.,i criticize others shortcomings,i criticize other shortcoming,1,1,1,big5_item,agreeableness
icryduringmovies,IPIP,Q3381,AB5C,I cry during movies.,i cry during movies,i cry during movie,1,1,1,big5_item,neuroticism
icryeasily,IPIP,Q3383,AB5C,I cry easily.,i cry easily,i cry easily,1,1,1,big5_item,agreeableness
icutconversationsshort,IPIP,Q2916,CPI,I cut conversations short.,i cut conversations short,i cut conversation short,0,0,1,other_item,agreeableness
icutotherstopieces,IPIP,Q654,NEO-PI-R,I cut others to pieces.,i cut others to pieces,i cut other to piece,0,1,1,big5_item,agreeableness
idaretosayanything,IPIP,Q3284,AB5C,I dare to say anything.,i dare to say anything,i dare to say anything,1,1,1,big5_item,extraversion
idealefficientlywithpracticalmatters,IPIP,Q2235,IPIP,I deal efficiently with practical matters.,i deal efficiently with practical matters,i deal efficiently with practical matter,0,0,0,other_item,conscientiousness
ideceivepeople,IPIP,Q1659,CAT-PD,I deceive people.,i deceive people,i deceive people,0,0,0,other_item,agreeableness
idecidethingsforothers,IPIP,Q1886,IPIP,I decide things for others.,i decide things for others,i decide thing for other,0,0,0,other_item,extraversion
idecidethingsonmyown,IPIP,Q1819,IPIP,I decide things on my own.,i decide things on my own,i decide thing on my own,0,0,0,other_item,openness
idefendmyownbeliefs,IPIP,Q2168,IPIP,I defend my own beliefs.,i defend my own beliefs,i defend my own belief,0,0,0,other_item,conscientiousness
idemandalotfromothers,IPIP,Q1793,AB5C,I demand a lot from others.,i demand a lot from others,i demand a lot from other,1,1,1,big5_item,agreeableness
idemandattention,IPIP,Q6194,7FACTOR,I demand attention.,i demand attention,i demand attention,1,1,1,big5_item,neuroticism
idemandexplanationsfromothers,IPIP,Q2918,CPI,I demand explanations from others.,i demand explanations from others,i demand explanation from other,0,0,1,other_item,agreeableness
idemandobedience,IPIP,Q3398,AB5C,I demand obedience.,i demand obedience,i demand obedience,1,1,1,big5_item,neuroticism
idemandperfectioninothers,IPIP,Q3287,AB5C,I demand perfection in others.,i demand perfection in others,i demand perfection in other,1,1,1,big5_item,conscientiousness
idemandquality,IPIP,Q3288,AB5C,I demand quality.,i demand quality,i demand quality,1,1,1,big5_item,conscientiousness
idemandtheimpossibleofothers,IPIP,Q1892,IPIP,I demand the impossible of others.,i demand the impossible of others,i demand the impossible of other,0,0,0,other_item,agreeableness
idemandtobethecenterofinterest,IPIP,Q3289,AB5C,I demand to be the center of interest.,i demand to be the center of interest,i demand to be the center of interest,1,1,1,big5_item,extraversion
idenyotherstheirturn,IPIP,Q1885,IPIP,I deny others their turn.,i deny others their turn,i deny other their turn,0,0,0,other_item,agreeableness
idependonsciencetoexplainmiracles,IPIP,Q2073,IPIP,I depend on science to explain miracles.,i depend on science to explain miracles,i depend on science to explain miracle,0,0,0,other_item,agreeableness
ideservespecialtreatmentfromothers,IPIP,Q5690,CAT-PD,I deserve special treatment from others.,i deserve special treatment from others,i deserve special treatment from other,0,0,0,other_item,agreeableness
ideservetheverybestofeverything,IPIP,Q2545,IPIP,I deserve the very best of everything.,i deserve the very best of everything,i deserve the very good of everything,0,0,0,other_item,extraversion
idetectmistakes,IPIP,Q3290,AB5C,I detect mistakes.,i detect mistakes,i detect mistake,1,1,1,big5_item,conscientiousness
idetestworking,IPIP,Q1895,IPIP,I detest working.,i detest working,i detest work,0,0,0,other_item,conscientiousness
ididnotfeellikeeatingeventhoughishouldhavebeenhungry,IPIP,Q5988,CES-D,I did not feel like eating even though I should have been hungry.,i did not feel like eating even though i should have been hungry,i do not feel like eat even though i should have be hungry,0,0,0,other_item,neuroticism
idisapproveofgiftgivingbecauseitencouragesweakness,IPIP,Q2432,IPIP,I disapprove of gift giving because it encourages weakness.,i disapprove of gift giving because it encourages weakness,i disapprove of gift give because it encourage weakness,0,0,0,other_item,agreeableness
idisclosemyintimatethoughts,IPIP,Q3291,AB5C,I disclose my intimate thoughts.,i disclose my intimate thoughts,i disclose my intimate thought,1,1,1,big5_item,extraversion
idiscussmyhealthproblemswithmyfamilyandfriends,IPIP,Q1463,IPIP,I discuss my health problems with my family and friends.,i discuss my health problems with my family and friends,i discuss my health problem with my family and friend,0,0,0,other_item,extraversion
idislikebeingaroundhappypeoplewheniamfeelingsad,IPIP,Q1334,EI,I dislike being around happy people when I am feeling sad.,i dislike being around happy people when i am feeling sad,i dislike be around happy people when i be feel sad,0,1,0,other_item,neuroticism
idislikebeingcomplimented,IPIP,Q4226,6FPQ,I dislike being complimented.,i dislike being complimented,i dislike be compliment,0,0,1,big5_item,agreeableness
idislikebeingthecenterofattention,IPIP,Q413,NEO-PI-R,I dislike being the center of attention.,i dislike being the center of attention,i dislike be the center of attention,0,1,1,big5_item,extraversion
idislikechanges,IPIP,Q838,NEO-PI-R,I dislike changes.,i dislike changes,i dislike change,0,1,1,big5_item,openness
idislikechildrenbirthdayparties,IPIP,Q1358,EI,I dislike children birthday parties.,i dislike children birthday parties,i dislike child birthday party,0,0,0,other_item,extraversion
idislikecompetingwithothers,IPIP,Q2921,CPI,I dislike competing with others.,i dislike competing with others,i dislike compete with other,0,0,1,other_item,openness
idislikehavingauthorityoverothers,IPIP,Q4228,6FPQ,I dislike having authority over others.,i dislike having authority over others,i dislike have authority over other,0,0,1,big5_item,extraversion
idislikehavingtodomorethanonetaskatatime,IPIP,Q2795,IPIP,I dislike having to do more than one task at a time.,i dislike having to do more than one task at a time,i dislike have to do more than one task at a time,0,0,0,other_item,extraversion
idislikeimperfectwork,IPIP,Q3292,AB5C,I dislike imperfect work.,i dislike imperfect work,i dislike imperfect work,1,1,1,big5_item,conscientiousness
idislikeincompetence,IPIP,Q2819,IPIP,I dislike incompetence.,i dislike incompetence,i dislike incompetence,0,0,0,other_item,agreeableness
idislikelearning,IPIP,Q3293,AB5C,I dislike learning.,i dislike learning,i dislike learn,1,1,1,big5_item,openness
idislikelookingatmybody,IPIP,Q2066,OCI-S,I dislike looking at my body.,i dislike looking at my body,i dislike look at my body,0,0,0,other_item,neuroticism
idislikelookingatmyselfinthemirror,IPIP,Q2020,OCI-S,I dislike looking at myself in the mirror.,i dislike looking at myself in the mirror,i dislike look at myself in the mirror,0,0,0,other_item,neuroticism
idislikeloudmusic,IPIP,Q792,NEO-PI-R,I dislike loud music.,i dislike loud music,i dislike loud music,0,1,1,big5_item,extraversion
idislikemovieswithhappyhollywoodendings,IPIP,Q2805,TCI,I dislike movies with happy Hollywood endings.,i dislike movies with happy hollywood endings,i dislike movie with happy <unknown> ending,0,0,1,other_item,agreeableness
idislikemyself,IPIP,Q395,AB5C,I dislike myself.,i dislike myself,i dislike myself,1,1,1,big5_item,neuroticism
idislikeneighborslivingtooclose,IPIP,Q3295,AB5C,I dislike neighbors living too close.,i dislike neighbors living too close,i dislike neighbor live too close,1,1,1,big5_item,extraversion
idislikeneonsignsandflorescentcolors,IPIP,Q2783,IPIP,I dislike neon signs and florescent colors.,i dislike neon signs and florescent colors,i dislike neon sign and <unknown> color,0,0,0,other_item,extraversion
idislikenewfoods,IPIP,Q841,NEO-PI-R,I dislike new foods.,i dislike new foods,i dislike new food,0,1,1,big5_item,openness
idislikepeoplewhodonotknowhowtobehavethemselves,IPIP,Q1114,EPQ,I dislike people who do not know how to behave themselves.,i dislike people who do not know how to behave themselves,i dislike people who do not know how to behave themselves,0,0,1,other_item,conscientiousness
idislikeroutine,IPIP,Q3296,AB5C,I dislike routine.,i dislike routine,i dislike routine,1,1,1,big5_item,conscientiousness
idislikesmellsthatiusuallylike,IPIP,Q1347,IPIP,I dislike smells that I usually like.,i dislike smells that i usually like,i dislike smell that i usually like,0,0,0,other_item,neuroticism
idislikesurprises,IPIP,Q2797,IPIP,I dislike surprises.,i dislike surprises,i dislike surprise,0,0,0,other_item,extraversion
idisliketakingresponsibilityformakingdecisions,IPIP,Q4230,6FPQ,I dislike taking responsibility for making decisions.,i dislike taking responsibility for making decisions,i dislike take responsibility for make decision,0,0,1,big5_item,extraversion
idisliketalkingaboutmyself,IPIP,Q3297,AB5C,I dislike talking about myself.,i dislike talking about myself,i dislike talk about myself,1,1,1,big5_item,extraversion
idisliketastesthatiusuallylike,IPIP,Q1350,IPIP,I dislike tastes that I usually like.,i dislike tastes that i usually like,i dislike taste that i usually like,0,0,0,other_item,neuroticism
idisliketheunknown,IPIP,Q4231,6FPQ,I dislike the unknown.,i dislike the unknown,i dislike the unknown,0,0,1,big5_item,openness
idislikework,IPIP,Q2283,IPIP,I dislike work.,i dislike work,i dislike work,0,0,0,other_item,conscientiousness
idislikeworksoffiction,IPIP,Q469,16PF,I dislike works of fiction.,i dislike works of fiction,i dislike work of fiction,0,0,1,other_item,openness
idislikedmathinschool,IPIP,Q3742,HPI,I disliked math in school.,i disliked math in school,i dislike math in school,0,0,1,big5_item,openness
idisregardrules,IPIP,Q3298,AB5C,I disregard rules.,i disregard rules,i disregard rule,1,1,1,big5_item,conscientiousness
idisregardtheopinionsofothers,IPIP,Q149,TCI,I disregard the opinions of others.,i disregard the opinions of others,i disregard the opinion of other,0,0,1,other_item,agreeableness
idistrustpeople,IPIP,Q869,NEO-PI-R,I distrust people.,i distrust people,i distrust people,0,1,1,big5_item,agreeableness
idoalotinmysparetime,IPIP,Q3299,AB5C,I do a lot in my spare time.,i do a lot in my spare time,i do a lot in my spare time,1,1,1,big5_item,extraversion
idoalotofthingsjusttoavoidgettingsick,IPIP,Q1465,IPIP,I do a lot of things just to avoid getting sick.,i do a lot of things just to avoid getting sick,i do a lot of thing just to avoid get sick,0,0,0,other_item,conscientiousness
idoasiamtold,IPIP,Q1650,IPIP,I do as I am told.,i do as i am told,i do as i am tell,0,0,0,other_item,openness
idocrazythings,IPIP,Q5602,7FACTOR,I do crazy things.,i do crazy things,i do crazy thing,1,1,1,big5_item,conscientiousness
idodangerousthings,IPIP,Q3301,AB5C,I do dangerous things.,i do dangerous things,i do dangerous thing,1,1,1,big5_item,agreeableness
idoeverythingisayiwilldo,IPIP,Q2280,IPIP,I do everything I say I will do.,i do everything i say i will do,i do everything i say i will do,0,0,0,other_item,conscientiousness
idoimproperthings,IPIP,Q3302,AB5C,I do improper things.,i do improper things,i do improper thing,1,1,1,big5_item,conscientiousness
idojustenoughworktogetby,IPIP,Q675,NEO-PI-R,I do just enough work to get by.,i do just enough work to get by,i do just enough work to get by,0,1,1,big5_item,conscientiousness
idomanythingswithease,IPIP,Q1711,IPIP,I do many things with ease.,i do many things with ease,i do many thing with ease,0,0,0,other_item,extraversion
idomorethanwhatisexpectedofme,IPIP,Q956,NEO-PI-R,I do more than what is expected of me.,i do more than what is expected of me,i do more than what be expect of me,0,1,1,big5_item,conscientiousness
idomostofthetalking,IPIP,Q3303,AB5C,I do most of the talking.,i do most of the talking,i do most of the talk,1,1,1,big5_item,extraversion
idomybesttoavoidarguments,IPIP,Q1355,IPIP,I do my best to avoid arguments.,i do my best to avoid arguments,i do my good to avoid argument,0,0,0,other_item,agreeableness
idomytasksonlyjustbeforetheyneedtobedone,IPIP,Q2623,VIA,I do my tasks only just before they need to be done.,i do my tasks only just before they need to be done,i do my task only just before they need to be do,0,0,1,other_item,conscientiousness
idonotactisifiamaspecialperson,IPIP,Q2441,VIA,I do not act is if I am a special person.,i do not act is if i am a special person,i do not act be if i be a special person,0,0,1,other_item,agreeableness
idonotactlikeashowoff,IPIP,Q2269,IPIP,I do not act like a showoff.,i do not act like a showoff,i do not act like a show off,0,0,0,other_item,extraversion
idonotalwayspracticewhatipreach,IPIP,Q6211,MPQ,I do not always practice what I preach.,i do not always practice what i preach,i do not always practice what i preach,0,0,1,other_item,conscientiousness
idonotanalyzethereasonsformyactions,IPIP,Q2268,IPIP,I do not analyze the reasons for my actions.,i do not analyze the reasons for my actions,i do not analyze the reason for my action,0,0,0,other_item,conscientiousness
idonotapproachthingshalfheartedly,IPIP,Q2467,VIA,I do not approach things halfheartedly.,i do not approach things halfheartedly,i do not approach thing halfheartedly,0,0,1,other_item,conscientiousness
idonotattempttoconformtosocietyexpectations,IPIP,Q1512,IPIP,I do not attempt to conform to society expectations.,i do not attempt to conform to society expectations,i do not attempt to conform to society expectation,0,0,0,other_item,openness
idonotbelieveinauniversalpoweroragod,IPIP,Q2631,VIA,I do not believe in a universal power or a god.,i do not believe in a universal power or a god,i do not believe in a universal power or a god,0,0,1,other_item,agreeableness
idonotbothertomakeaneffort,IPIP,Q2942,CPI,I do not bother to make an effort.,i do not bother to make an effort,i do not bother to make an effort,0,0,1,other_item,conscientiousness
idonotbotherwithpoliteconversation,IPIP,Q1626,IPIP,I do not bother with polite conversation.,i do not bother with polite conversation,i do not bother with polite conversation,0,0,0,other_item,extraversion
idonotbotherworryingaboutpoliticalandsocialproblems,IPIP,Q4934,HEXACO,I do not bother worrying about political and social problems.,i do not bother worrying about political and social problems,i do not bother worry about political and social problem,0,0,1,big5_item,openness
idonotbragaboutmyaccomplishments,IPIP,Q2479,VIA,I do not brag about my accomplishments.,i do not brag about my accomplishments,i do not brag about my accomplishment,0,0,1,other_item,agreeableness
idonotcallattentiontomyself,IPIP,Q2592,VIA,I do not call attention to myself.,i do not call attention to myself,i do not call attention to myself,0,0,1,other_item,extraversion
idonotcallpeoplejusttotalk,IPIP,Q3319,AB5C,I do not call people just to talk.,i do not call people just to talk,i do not call people just to talk,1,1,1,big5_item,agreeableness
idonotcareaboutdressingnicely,IPIP,Q5605,7FACTOR,I do not care about dressing nicely.,i do not care about dressing nicely,i do not care about dress nicely,1,1,1,big5_item,agreeableness
idonotcareaboutrules,IPIP,Q3321,AB5C,I do not care about rules.,i do not care about rules,i do not care about rule,1,1,1,big5_item,conscientiousness
idonotcareaboutsports,OpenPsychometrics,Q5178,MEIS,I do not care about sports.,i do not care about sports,i do not care about sport,0,0,0,big5_item,extraversion
idonotcarehowmyactionsaffectothers,IPIP,Q5664,CAT-PD,I do not care how my actions affect others.,i do not care how my actions affect others,i do not care how my action affect other,0,0,0,other_item,agreeableness
idonotcarewhatothersthink,IPIP,Q4244,6FPQ,I do not care what others think.,i do not care what others think,i do not care what other think,0,0,1,big5_item,agreeableness
idonotcarewhatpeoplethinkofme,IPIP,Q3753,HPI,I do not care what people think of me.,i do not care what people think of me,i do not care what people think of me,0,0,1,big5_item,conscientiousness
idonotcarewhetheriamconsideredspecial,IPIP,Q4245,6FPQ,I do not care whether I am considered special.,i do not care whether i am considered special,i do not care whether i be consider special,0,0,1,big5_item,neuroticism
idonotcommitmyselftothings,IPIP,Q1859,IPIP,I do not commit myself to things.,i do not commit myself to things,i do not commit myself to thing,0,0,0,other_item,extraversion
idonotconsiderataskfinisheduntilitisperfect,IPIP,Q5727,CAT-PD,I do not consider a task finished until it is perfect.,i do not consider a task finished until it is perfect,i do not consider a task finish until it be perfect,0,0,0,other_item,conscientiousness
idonotconsidermyselfattractive,IPIP,Q2104,OCI-S,I do not consider myself attractive.,i do not consider myself attractive,i do not consider myself attractive,0,0,0,other_item,extraversion
idonotconsidermyselfreligious,IPIP,Q4078,JPI,I do not consider myself religious.,i do not consider myself religious,i do not consider myself religious,0,0,1,other_item,conscientiousness
idonotdesirethingsthatothershave,IPIP,Q2174,IPIP,I do not desire things that others have.,i do not desire things that others have,i do not desire thing that other have,0,0,0,other_item,neuroticism
idonotdiscardoldpicturesorsnapshots,IPIP,Q1940,IPIP,I do not discard old pictures or snapshots.,i do not discard old pictures or snapshots,i do not discard old picture or snapshot,0,0,0,other_item,neuroticism
idonoteasilysharemyfeelingswithothers,IPIP,Q2463,VIA,I do not easily share my feelings with others.,i do not easily share my feelings with others,i do not easily share my feeling with other,0,0,1,other_item,extraversion
idonotenjoybeingtheobjectofjokes,IPIP,Q2038,IPIP,I do not enjoy being the object of jokes.,i do not enjoy being the object of jokes,i do not enjoy be the object of joke,0,0,0,other_item,extraversion
idonotenjoydoingquietleisureactivities,IPIP,Q2357,ADHDS,I do not enjoy doing quiet leisure activities.,i do not enjoy doing quiet leisure activities,i do not enjoy do quiet leisure activity,0,0,0,other_item,openness
idonotenjoygoingtoartmuseums,IPIP,Q3304,AB5C,I do not enjoy going to art museums.,i do not enjoy going to art museums,i do not enjoy go to art museum,1,1,1,big5_item,openness
idonotenjoywatchingdanceperformances,IPIP,Q3305,AB5C,I do not enjoy watching dance performances.,i do not enjoy watching dance performances,i do not enjoy watch dance performance,1,1,1,big5_item,openness
idonotexerciseonaregularbasis,IPIP,Q2757,VIA,I do not exercise on a regular basis.,i do not exercise on a regular basis,i do not exercise on a regular basis,0,0,1,other_item,neuroticism
idonotfallforsobstories,IPIP,Q3322,AB5C,I do not fall for sob stories.,i do not fall for sob stories,i do not fall for sob story,1,1,1,big5_item,agreeableness
idonotfeelclosetopeople,IPIP,Q5760,CAT-PD,I do not feel close to people.,i do not feel close to people,i do not feel close to people,0,0,0,other_item,extraversion
idonotfeeltheneedtobeclosetoothers,IPIP,Q2518,IPIP,I do not feel the need to be close to others.,i do not feel the need to be close to others,i do not feel the need to be close to other,0,0,0,other_item,extraversion
idonotfinishthethingsthatistart,IPIP,Q4882,HEXACO,I do not finish the things that I start.,i do not finish the things that i start,i do not finish the thing that i start,0,0,1,big5_item,conscientiousness
idonotfinishwhatistart,IPIP,Q2713,VIA,I do not finish what I start.,i do not finish what i start,i do not finish what i start,0,0,1,other_item,conscientiousness
idonotgetexcitedaboutthings,IPIP,Q3323,AB5C,I do not get excited about things.,i do not get excited about things,i do not get excite about thing,1,1,1,big5_item,agreeableness
idonotgetparticularlyupsetwhenilosethings,IPIP,Q1949,IPIP,I do not get particularly upset when I lose things.,i do not get particularly upset when i lose things,i do not get particularly upset when i lose thing,0,0,0,other_item,neuroticism
idonotgetsidetrackedwheniwork,IPIP,Q2608,VIA,I do not get sidetracked when I work.,i do not get sidetracked when i work,i do not get sidetrack when i work,0,0,1,other_item,conscientiousness
idonotgiveanyoneasecondchancetohurtme,IPIP,Q2647,VIA,I do not give anyone a second chance to hurt me.,i do not give anyone a second chance to hurt me,i do not give anyone a second chance to hurt me,0,0,1,other_item,agreeableness
idonotgooutofmywaytomakeotherssmileorlaugh,IPIP,Q2634,VIA,I do not go out of my way to make others smile or laugh.,i do not go out of my way to make others smile or laugh,i do not go out of my way to make other smile or laugh,0,0,1,other_item,extraversion
idonothaveagoodimagination,IPIP,Q6217,AB5C,I do not have a good imagination.,i do not have a good imagination,i do not have a good imagination,1,1,1,big5_item,openness
idonothaveaplaceicallhome,IPIP,Q2298,IPIP,I do not have a place I call home.,i do not have a place i call home,i do not have a place i call home,0,0,0,other_item,conscientiousness
idonothaveasoftside,IPIP,Q3324,AB5C,I do not have a soft side.,i do not have a soft side,i do not have a soft side,1,1,1,big5_item,agreeableness
idonothaveanassertivepersonality,IPIP,Q1059,BFAS,I do not have an assertive personality.,i do not have an assertive personality,i do not have an assertive personality,1,1,1,big5_item,extraversion
idonothavemuchenergy,IPIP,Q2552,VIA,I do not have much energy.,i do not have much energy,i do not have much energy,0,0,1,other_item,neuroticism
idonothavestrongfeelingsaboutanyoneoranything,IPIP,Q2680,IPIP,I do not have strong feelings about anyone or anything.,i do not have strong feelings about anyone or anything,i do not have strong feeling about anyone or anything,0,0,0,other_item,extraversion
idonothesitatetoexpressanunpopularopinion,IPIP,Q2748,VIA,I do not hesitate to express an unpopular opinion.,i do not hesitate to express an unpopular opinion,i do not hesitate to express an unpopular opinion,0,0,1,other_item,extraversion
idonotindulgeinviolence,IPIP,Q2233,IPIP,I do not indulge in violence.,i do not indulge in violence,i do not indulge in violence,0,0,0,other_item,agreeableness
idonotknowhowtohandlemyselfinanewsocialsituation,IPIP,Q2707,VIA,I do not know how to handle myself in a new social situation.,i do not know how to handle myself in a new social situation,i do not know how to handle myself in a new social situation,0,0,1,other_item,extraversion
idonotknowmuchabouthistory,IPIP,Q4932,HEXACO,I do not know much about history.,i do not know much about history,i do not know much about history,0,0,1,big5_item,openness
idonotknowwhatireallywant,IPIP,Q1327,IPIP,I do not know what I really want.,i do not know what i really want,i do not know what i really want,0,0,0,other_item,neuroticism
idonotknowwhatisgoingoninsideme,IPIP,Q1378,IPIP,I do not know what is going on inside me.,i do not know what is going on inside me,i do not know what be go on inside me,0,0,0,other_item,extraversion
idonotknowwhyiamangry,IPIP,Q1346,IPIP,I do not know why I am angry.,i do not know why i am angry,i do not know why i be angry,0,0,0,other_item,neuroticism
idonotknowwhyidosomeofthethingsido,IPIP,Q3416,AB5C,I do not know why I do some of the things I do.,i do not know why i do some of the things i do,i do not know why i do some of the thing i do,1,1,1,big5_item,neuroticism
idonotlearnfrommyexperiences,IPIP,Q1730,IPIP,I do not learn from my experiences.,i do not learn from my experiences,i do not learn from my experience,0,0,0,other_item,conscientiousness
idonotletanillnessorinjurychangemydailyhabits,IPIP,Q1450,IPIP,I do not let an illness or injury change my daily habits.,i do not let an illness or injury change my daily habits,i do not let an illness or injury change my daily habit,0,0,0,other_item,neuroticism
idonotletlittlethingsangerme,IPIP,Q5652,CAT-PD,I do not let little things anger me.,i do not let little things anger me,i do not let little thing anger me,0,0,0,other_item,neuroticism
idonotletotherscutinfrontofmeinline,IPIP,Q2040,IPIP,I do not let others cut in front of me in line.,i do not let others cut in front of me in line,i do not let other cut in front of me in line,0,0,0,other_item,agreeableness
idonotletothersdiscourageme,IPIP,Q476,16PF,I do not let others discourage me.,i do not let others discourage me,i do not let other discourage me,0,0,1,other_item,neuroticism
idonotletotherstakecreditformywork,IPIP,Q4247,6FPQ,I do not let others take credit for my work.,i do not let others take credit for my work,i do not let other take credit for my work,0,0,1,big5_item,agreeableness
idonotlikeactionmovies,IPIP,Q3755,HPI,I do not like action movies.,i do not like action movies,i do not like action movie,0,0,1,big5_item,openness
idonotlikeart,IPIP,Q3307,AB5C,I do not like art.,i do not like art,i do not like art,1,1,1,big5_item,openness
idonotlikebeingawayfromcivilization,IPIP,Q4248,6FPQ,I do not like being away from civilization.,i do not like being away from civilization,i do not like be away from civilization,0,0,1,big5_item,agreeableness
idonotlikebeinginterrupted,IPIP,Q2130,IPIP,I do not like being interrupted.,i do not like being interrupted,i do not like be interrupted,0,0,0,other_item,agreeableness
idonotlikebeinglaughedat,IPIP,Q2134,IPIP,I do not like being laughed at.,i do not like being laughed at,i do not like be laugh at,0,0,0,other_item,extraversion
idonotlikeconcerts,IPIP,Q3308,AB5C,I do not like concerts.,i do not like concerts,i do not like concert,1,1,1,big5_item,openness
idonotlikecrowdedevents,IPIP,Q408,AB5C,I do not like crowded events.,i do not like crowded events,i do not like crowded event,1,1,1,big5_item,extraversion
idonotlikegettingdirtonmyhands,IPIP,Q2279,IPIP,I do not like getting dirt on my hands.,i do not like getting dirt on my hands,i do not like get dirt on my hand,0,0,0,other_item,openness
idonotlikepoetry,IPIP,Q3309,AB5C,I do not like poetry.,i do not like poetry,i do not like poetry,1,1,1,big5_item,openness
