"guid","source_id","doc_id","scale","raw_text","text","lexical","structural","other","label_type","label","set","other_label_to_big5","facet"
"idonotfallforsobstories","IPIP","Q3322","AB5C","Don't fall for sob-stories","I do not fall for sob stories.",1,1,1,"hard","agreeableness","train","agreeableness","sympathy"
"idonotgetexcitedaboutthings","IPIP","Q3323","AB5C","Don't get excited about things","I do not get excited about things.",1,1,1,"hard","agreeableness","train","agreeableness","tenderness"
"idonothaveasoftside","IPIP","Q3324","AB5C","Don't have a soft side","I do not have a soft side.",1,1,1,"hard","agreeableness","train","agreeableness","empathy"
"iamfilledwithdoubtsaboutthings","IPIP","Q3325","AB5C","Am filled with doubts about things","I am filled with doubts about things.",1,1,1,"hard","neuroticism","train","neuroticism","happiness"
"idonotliketodrawattentiontomyself","IPIP","Q3327","AB5C","Don't like to draw attention to myself","I do not like to draw attention to myself.",1,1,1,"hard","extraversion","train","extraversion","gregariousness"
"idonotliketoponderoverthings","IPIP","Q3328","AB5C","Don't like to ponder over things","I do not like to ponder over things.",1,1,1,"hard","openness","train","openness","introspection/private self-consciousness"
"iamguidedbymymoods","IPIP","Q3329","AB5C","Am guided by my moods","I am guided by my moods.",1,1,1,"hard","neuroticism","train","neuroticism","moderation"
"idonotmindbeingthecenterofattention","IPIP","Q3330","AB5C","Don't mind being the center of attention","I do not mind being the center of attention.",1,1,1,"hard","extraversion","train","extraversion","provocativeness"
"idonotmindeatingalone","IPIP","Q3331","AB5C","Don't mind eating alone","I do not mind eating alone.",1,1,1,"hard","extraversion","train","extraversion","introspection/private self-consciousness"
"idonotpayattention","IPIP","Q3332","AB5C","Don't pay attention","I do not pay attention.",1,1,1,"hard","conscientiousness","train","conscientiousness","organization"
"idonotseethingsthrough","IPIP","Q3333","AB5C","Don't see things through","I do not see things through.",1,1,1,"hard","conscientiousness","train","conscientiousness","purposefulness"
"idonotthinklawsapplytome","IPIP","Q3335","AB5C","Don't think that laws apply to me","I do not think laws apply to me.",1,1,1,"hard","conscientiousness","train","conscientiousness","dutifulness"
"idonotunderstandpeoplewhogetemotional","IPIP","Q3336","AB5C","Don't understand people who get emotional","I do not understand people who get emotional.",1,1,1,"hard","agreeableness","test","agreeableness","tenderness"
"idonotunderstandthings","IPIP","Q3337","AB5C","Don't understand things","I do not understand things.",1,1,1,"hard","conscientiousness","train","conscientiousness","quickness"
"iamnotsurewheremylifeisgoing","IPIP","Q3338","AB5C","Am not sure where my life is going","I am not sure where my life is going.",1,1,1,"hard","neuroticism","train","neuroticism","moderation"
"ienjoybeingonthego","IPIP","Q3339","AB5C","Enjoy being on the go","I enjoy being on the go.",1,1,1,"hard","extraversion","test","extraversion","sociability"
"ienjoybeingpartofaloudcrowd","IPIP","Q3340","AB5C","Enjoy being part of a loud crowd","I enjoy being part of a loud crowd.",1,1,1,"hard","extraversion","train","extraversion","sociability"
"ienjoybeingreckless","IPIP","Q3341","AB5C","Enjoy being reckless","I enjoy being reckless.",1,1,1,"hard","extraversion","train","extraversion","cooperation"
"ienjoycontemplation","IPIP","Q3342","AB5C","Enjoy contemplation","I enjoy contemplation.",1,1,1,"hard","openness","train","openness","introspection/private self-consciousness"
"ienjoycrudejokes","IPIP","Q3343","AB5C","Enjoy crude jokes","I enjoy crude jokes.",1,1,1,"hard","agreeableness","train","agreeableness","cooperation"
"ienjoydiscussingmoviesandbookswithothers","IPIP","Q3344","AB5C","Enjoy discussing movies and books with others","I enjoy discussing movies and books with others.",1,1,1,"hard","openness","test","openness","reflection"
"ienjoyexaminingmyselfandmylife","IPIP","Q3345","AB5C","Enjoy examining myself and my life","I enjoy examining myself and my life.",1,1,1,"hard","openness","train","openness","depth"
"ienjoymyprivacy","IPIP","Q3346","AB5C","Enjoy my privacy","I enjoy my privacy.",1,1,1,"hard","extraversion","train","extraversion","introspection/private self-consciousness"
"ienjoysilence","IPIP","Q3347","AB5C","Enjoy silence","I enjoy silence.",1,1,1,"hard","extraversion","train","extraversion","sociability"
"ienjoyspendingtimebymyself","IPIP","Q3348","AB5C","Enjoy spending time by myself","I enjoy spending time by myself.",1,1,1,"hard","extraversion","train","extraversion","introspection/private self-consciousness"
"ienjoythebeautyofnature","IPIP","Q3349","AB5C","Enjoy the beauty of nature","I enjoy the beauty of nature.",1,1,1,"hard","openness","train","openness","reflection"
"ienjoythinkingaboutthings","IPIP","Q3350","AB5C","Enjoy thinking about things","I enjoy thinking about things.",1,1,1,"hard","openness","train","openness","intellect"
"ienjoywildflightsoffantasy","IPIP","Q3351","AB5C","Enjoy wild flights of fantasy","I enjoy wild flights of fantasy.",1,1,1,"hard","openness","train","openness","imagination"
"iexcelinwhatido","IPIP","Q3352","AB5C","Excel in what I do","I excel in what I do.",1,1,1,"hard","conscientiousness","train","conscientiousness","competence"
"iexpectdedicatedworkfromothers","IPIP","Q3353","AB5C","Expect dedicated work from others","I expect dedicated work from others.",1,1,1,"hard","conscientiousness","train","conscientiousness","perfectionism"
"iamofteninabadmood","IPIP","Q3354","AB5C","Am often in a bad mood","I am often in a bad mood.",1,1,1,"hard","neuroticism","train","neuroticism","calmness"
"iamswayedbymyemotions","IPIP","Q3355","AB5C","Am swayed by my emotions","I am swayed by my emotions.",1,1,1,"hard","neuroticism","train","neuroticism","tranquility"
"iexpresschildlikejoy","IPIP","Q3356","AB5C","Express childlike joy","I express childlike joy.",1,1,1,"hard","extraversion","train","extraversion","self-disclosure"
"ifeelcomfortablearoundpeople","IPIP","Q3358","AB5C","Feel comfortable around people","I feel comfortable around people.",1,1,1,"hard","extraversion","test","extraversion","poise"
"ibargeinonconversations","IPIP","Q3359","AB5C","Barge in on conversations","I barge in on conversations.",1,1,1,"hard","neuroticism","train","neuroticism","impulse-control"
"ibecomeoverwhelmedbyevents","IPIP","Q3360","AB5C","Become overwhelmed by events","I become overwhelmed by events.",1,1,1,"hard","neuroticism","test","neuroticism","toughness"
"ifeellittleconcernforothers","IPIP","Q3361","AB5C","Feel little concern for others","I feel little concern for others.",1,1,1,"hard","agreeableness","train","agreeableness","understanding"
"iblurtoutwhatevercomesintomymind","IPIP","Q3364","AB5C","Blurt out whatever comes into my mind","I blurt out whatever comes into my mind.",1,1,1,"hard","neuroticism","train","neuroticism","impulse-control"
"ifindithardtoforgiveothers","IPIP","Q3367","AB5C","Find it hard to forgive others","I find it hard to forgive others.",1,1,1,"hard","agreeableness","train","agreeableness","pleasantness"
"ifinishwhatistart","IPIP","Q3368","AB5C","Finish what I start","I finish what I start.",1,1,1,"hard","conscientiousness","train","conscientiousness","efficiency"
"ifollowaschedule","IPIP","Q3369","AB5C","Follow a schedule","I follow a schedule.",1,1,1,"hard","conscientiousness","train","conscientiousness","orderliness"
"ifollowdirections","IPIP","Q3370","AB5C","Follow directions","I follow directions.",1,1,1,"hard","agreeableness","train","agreeableness","dutifulness"
"ifollowthroughonmycommitments","IPIP","Q3371","AB5C","Follow through on my commitments","I follow through on my commitments.",1,1,1,"hard","conscientiousness","test","conscientiousness","organization"
"ifollowthroughwithmyplans","IPIP","Q3372","AB5C","Follow through with my plans","I follow through with my plans.",1,1,1,"hard","conscientiousness","train","conscientiousness","efficiency"
"ifrequentlyforgettodothings","IPIP","Q3373","AB5C","Frequently forget to do things","I frequently forget to do things.",1,1,1,"hard","conscientiousness","train","conscientiousness","efficiency"
"igetaheadstartonothers","IPIP","Q3374","AB5C","Get a head start on others","I get a head start on others.",1,1,1,"hard","conscientiousness","train","conscientiousness","rationality"
"iburstintotears","IPIP","Q3375","AB5C","Burst into tears","I burst into tears.",1,1,1,"hard","neuroticism","train","neuroticism","imperturbability"
"icanbestirredupeasily","IPIP","Q3376","AB5C","Can be stirred up easily","I can be stirred up easily.",1,1,1,"hard","neuroticism","train","neuroticism","tranquility"
"igetchoresdonerightaway","IPIP","Q3377","AB5C","Get chores done right away","I get chores done right away.",1,1,1,"hard","conscientiousness","test","conscientiousness","efficiency"
"icannotconcentrate","IPIP","Q3378","AB5C","Can't concentrate","I cannot concentrate.",1,1,1,"hard","neuroticism","train","neuroticism","moderation"
"icannotstandbeingcontradicted","IPIP","Q3379","AB5C","Can't stand being contradicted","I cannot stand being contradicted.",1,1,1,"hard","neuroticism","test","neuroticism","cool-headedness"
"ichangemymoodalot","IPIP","Q3380","AB5C","Change my mood a lot","I change my mood a lot.",1,1,1,"hard","neuroticism","train","neuroticism","stability"
"icryduringmovies","IPIP","Q3381","AB5C","Cry during movies","I cry during movies.",1,1,1,"hard","neuroticism","train","neuroticism","imperturbability"
"igettoworkatonce","IPIP","Q3382","AB5C","Get to work at once","I get to work at once.",1,1,1,"hard","conscientiousness","train","conscientiousness","purposefulness"
"icryeasily","IPIP","Q3383","AB5C","Cry easily","I cry easily.",1,1,1,"hard","agreeableness","train","agreeableness","imperturbability"
"igiveupeasily","IPIP","Q3384","AB5C","Give up easily","I give up easily.",1,1,1,"hard","conscientiousness","train","conscientiousness","poise"
"igomyownway","IPIP","Q3385","AB5C","Go my own way","I go my own way.",1,1,1,"hard","agreeableness","test","agreeableness","sociability"
"igooutofmywayforothers","IPIP","Q3386","AB5C","Go out of my way for others","I go out of my way for others.",1,1,1,"hard","agreeableness","train","agreeableness","nurturance"
"ihandletaskssmoothly","IPIP","Q3387","AB5C","Handle tasks smoothly","I handle tasks smoothly.",1,1,1,"hard","conscientiousness","train","conscientiousness","purposefulness"
"ihatetoseempushy","IPIP","Q3388","AB5C","Hate to seem pushy","I hate to seem pushy.",1,1,1,"hard","agreeableness","train","agreeableness","provocativeness"
"ihaveagoodwordforeveryone","IPIP","Q3389","AB5C","Have a good word for everyone","I have a good word for everyone.",1,1,1,"hard","agreeableness","train","agreeableness","pleasantness"
"ihavealotoffun","IPIP","Q3390","AB5C","Have a lot of fun","I have a lot of fun.",1,1,1,"hard","extraversion","train","extraversion","poise"
"ihaveapointofviewallmyown","IPIP","Q3391","AB5C","Have a point of view all my own","I have a point of view all my own.",1,1,1,"hard","openness","train","openness","introspection/private self-consciousness"
"ihaveapoorvocabulary","IPIP","Q3392","AB5C","Have a poor vocabulary","I have a poor vocabulary.",1,1,1,"hard","openness","train","openness","intellect"
"ihaveaneyefordetail","IPIP","Q3396","AB5C","Have an eye for detail","I have an eye for detail.",1,1,1,"hard","conscientiousness","test","conscientiousness","organization"
"idemandobedience","IPIP","Q3398","AB5C","Demand obedience","I demand obedience.",1,1,1,"hard","neuroticism","train","neuroticism","cool-headedness"
"ihavedifficultystartingtasks","IPIP","Q3401","AB5C","Have difficulty starting tasks","I have difficulty starting tasks.",1,1,1,"hard","conscientiousness","train","conscientiousness","efficiency"
"ihavelittletosay","IPIP","Q3405","AB5C","Have little to say","I have little to say.",1,1,1,"hard","extraversion","test","extraversion","leadership"
"iimposemywillonothers","IPIP","Q3407","AB5C","Impose my will on others","I impose my will on others.",1,1,1,"hard","agreeableness","train","agreeableness","cooperation"
"iinquireaboutotherswellbeing","IPIP","Q3408","AB5C","Inquire about others' well-being","I inquire about others well being.",1,1,1,"hard","agreeableness","train","agreeableness","warmth"
"ijokearoundalot","IPIP","Q3410","AB5C","Joke around a lot","I joke around a lot.",1,1,1,"hard","extraversion","train","extraversion","self-disclosure"
"ikeepasharpeyeonotherswork","IPIP","Q3412","AB5C","Keep a sharp eye on others' work","I keep a sharp eye on others work.",1,1,1,"hard","conscientiousness","train","conscientiousness","perfectionism"
"ikeepmycheckbookbalanced","IPIP","Q3414","AB5C","Keep my checkbook balanced","I keep my checkbook balanced.",1,1,1,"hard","conscientiousness","train","conscientiousness","conscientiousness"
"idothingsilaterregret","IPIP","Q3415","AB5C","Do things that I later regret","I do things I later regret.",1,1,1,"hard","neuroticism","train","neuroticism","moderation"
"idonotknowwhyidosomeofthethingsido","IPIP","Q3416","AB5C","Don't know why I do some of the things I do","I do not know why I do some of the things I do.",1,1,1,"hard","neuroticism","test","neuroticism","moderation"
"ikeepmythoughtstomyself","IPIP","Q3417","AB5C","Keep my thoughts to myself","I keep my thoughts to myself.",1,1,1,"hard","extraversion","test","extraversion","gregariousness"
"ikeepothersatadistance","IPIP","Q3419","AB5C","Keep others at a distance","I keep others at a distance.",1,1,1,"hard","extraversion","train","extraversion","friendliness"
"iknowhowtoapplymyknowledge","IPIP","Q3421","AB5C","Know how to apply my knowledge","I know how to apply my knowledge.",1,1,1,"hard","openness","train","openness","competence"
"iknowhowtocaptivatepeople","IPIP","Q3422","AB5C","Know how to captivate people","I know how to captivate people.",1,1,1,"hard","extraversion","train","extraversion","leadership"
"iknowhowtocomfortothers","IPIP","Q3423","AB5C","Know how to comfort others","I know how to comfort others.",1,1,1,"hard","agreeableness","train","agreeableness","warmth"
"ifeelcrushedbysetbacks","IPIP","Q3424","AB5C","Feel crushed by setbacks","I feel crushed by setbacks.",1,1,1,"hard","neuroticism","train","neuroticism","toughness"
"iknowhowtogetaroundtherules","IPIP","Q3425","AB5C","Know how to get around the rules","I know how to get around the rules.",1,1,1,"hard","extraversion","test","extraversion","provocativeness"
"iknownolimits","IPIP","Q3426","AB5C","Know no limits","I know no limits.",1,1,1,"hard","extraversion","train","extraversion","provocativeness"
"iknowwhatiwant","IPIP","Q3428","AB5C","Know what I want","I know what I want.",1,1,1,"hard","extraversion","train","extraversion","assertiveness"
"ilaughattheslightestprovocation","IPIP","Q3429","AB5C","Laugh at the slightest provocation","I laugh at the slightest provocation.",1,1,1,"hard","conscientiousness","train","conscientiousness","cautiousness"
"ilaughmywaythroughlife","IPIP","Q3430","AB5C","Laugh my way through life","I laugh my way through life.",1,1,1,"hard","extraversion","train","extraversion","self-disclosure"
"ilearnquickly","IPIP","Q3431","AB5C","Learn quickly","I learn quickly.",1,1,1,"hard","openness","train","openness","competence"
"ileavemybelongingsaround","IPIP","Q3433","AB5C","Leave my belongings around","I leave my belongings around.",1,1,1,"hard","conscientiousness","train","conscientiousness","orderliness"
"ileavemyworkundone","IPIP","Q3434","AB5C","Leave my work undone","I leave my work undone.",1,1,1,"hard","conscientiousness","train","conscientiousness","conscientiousness"
"iletmyattentionwanderoff","IPIP","Q3435","AB5C","Let my attention wander off","I let my attention wander off.",1,1,1,"hard","conscientiousness","train","conscientiousness","rationality"
"iletmyselfbepushedaround","IPIP","Q3436","AB5C","Let myself be pushed around","I let myself be pushed around.",1,1,1,"hard","extraversion","train","extraversion","assertiveness"
"iletmyselfgo","IPIP","Q3437","AB5C","Let myself go","I let myself go.",1,1,1,"hard","extraversion","train","extraversion","self-disclosure"
"ifeelthreatenedeasily","IPIP","Q3438","AB5C","Feel threatened easily","I feel threatened easily.",1,1,1,"hard","neuroticism","test","neuroticism","happiness"
"iletpeoplepullmyleg","IPIP","Q3440","AB5C","Let people pull my leg","I let people pull my leg.",1,1,1,"hard","conscientiousness","train","conscientiousness","rationality"
"ilikeharmonyinmylife","IPIP","Q3441","AB5C","Like harmony in my life","I like harmony in my life.",1,1,1,"hard","agreeableness","train","agreeableness","morality"
"ilikemusic","IPIP","Q3442","AB5C","Like music","I like music.",1,1,1,"hard","openness","train","openness","reflection"
"iliketoactonawhim","IPIP","Q3444","AB5C","Like to act on a whim","I like to act on a whim.",1,1,1,"hard","conscientiousness","train","conscientiousness","cautiousness"
"iliketoamuseothers","IPIP","Q3445","AB5C","Like to amuse others","I like to amuse others.",1,1,1,"hard","extraversion","train","extraversion","self-disclosure"
"iliketobealone","IPIP","Q3447","AB5C","Like to be alone","I like to be alone.",1,1,1,"hard","extraversion","train","extraversion","sociability"
"iliketobeofservicetoothers","IPIP","Q3448","AB5C","Like to be of service to others","I like to be of service to others.",1,1,1,"hard","agreeableness","train","agreeableness","understanding"
"iliketodothingsforothers","IPIP","Q3449","AB5C","Like to do things for others","I like to do things for others.",1,1,1,"hard","agreeableness","train","agreeableness","sympathy"
"igetangryeasily","IPIP","Q3451","AB5C","Get angry easily","I get angry easily.",1,1,1,"hard","neuroticism","test","neuroticism","calmness"
"iliketolaughoutloud","IPIP","Q3452","AB5C","Like to laugh out loud","I like to laugh out loud.",1,1,1,"hard","conscientiousness","test","conscientiousness","cautiousness"
"iliketoplanahead","IPIP","Q3453","AB5C","Like to plan ahead","I like to plan ahead.",1,1,1,"hard","conscientiousness","train","conscientiousness","conscientiousness"
"iliketopleaseothers","IPIP","Q3454","AB5C","Like to please others","I like to please others.",1,1,1,"hard","agreeableness","train","agreeableness","nurturance"
"iliketosolvecomplexproblems","IPIP","Q3455","AB5C","Like to solve complex problems","I like to solve complex problems.",1,1,1,"hard","openness","test","openness","creativity/originality"
"ilistentomybrainratherthanmyheart","IPIP","Q3457","AB5C","Listen to my brain rather than my heart","I listen to my brain rather than my heart.",1,1,1,"hard","agreeableness","train","agreeableness","sympathy"
"ilistentomyconscience","IPIP","Q3458","AB5C","Listen to my conscience","I listen to my conscience.",1,1,1,"hard","agreeableness","train","agreeableness","cooperation"
"ilistentomyheartratherthanmybrain","IPIP","Q3459","AB5C","Listen to my heart rather than my brain","I listen to my heart rather than my brain.",1,1,1,"hard","agreeableness","train","agreeableness","tenderness"
"iliveinaworldofmyown","IPIP","Q3460","AB5C","Live in a world of my own","I live in a world of my own.",1,1,1,"hard","openness","train","openness","introspection/private self-consciousness"
"igetcaughtupinmyproblems","IPIP","Q3461","AB5C","Get caught up in my problems","I get caught up in my problems.",1,1,1,"hard","neuroticism","train","neuroticism","stability"
"ilookatthefacts","IPIP","Q3462","AB5C","Look at the facts","I look at the facts.",1,1,1,"hard","openness","train","openness","competence"
"ilookdownonanyweakness","IPIP","Q3463","AB5C","Look down on any weakness","I look down on any weakness.",1,1,1,"hard","agreeableness","train","agreeableness","sympathy"
"ilookforhiddenmeaningsinthings","IPIP","Q3464","AB5C","Look for hidden meanings in things","I look for hidden meanings in things.",1,1,1,"hard","openness","train","openness","depth"
"igetfurious","IPIP","Q3465","AB5C","Get furious","I get furious.",1,1,1,"hard","neuroticism","train","neuroticism","calmness"
"iloveagoodfight","IPIP","Q3466","AB5C","Love a good fight","I love a good fight.",1,1,1,"hard","agreeableness","train","agreeableness","cooperation"
"ilovebeautifulthings","IPIP","Q3467","AB5C","Love beautiful things","I love beautiful things.",1,1,1,"hard","openness","train","openness","reflection"
"ilovechildrenmovies","IPIP","Q3468","AB5C","Love children's movies","I love children movies.",1,1,1,"hard","openness","train","openness","tenderness"
"iloveflowers","IPIP","Q3469","AB5C","Love flowers","I love flowers.",1,1,1,"hard","openness","train","openness","reflection"
"ilovelargeparties","IPIP","Q3470","AB5C","Love large parties","I love large parties.",1,1,1,"hard","extraversion","train","extraversion","gregariousness"
"ilovelife","IPIP","Q3471","AB5C","Love life","I love life.",1,1,1,"hard","extraversion","test","extraversion","poise"
"igetoutofcontrol","IPIP","Q3472","AB5C","Get out of control","I get out of control.",1,1,1,"hard","neuroticism","train","neuroticism","moderation"
"ilovetoreadchallengingmaterial","IPIP","Q3473","AB5C","Love to read challenging material","I love to read challenging material.",1,1,1,"hard","openness","train","openness","quickness"
"imakealotofnoise","IPIP","Q3475","AB5C","Make a lot of noise","I make a lot of noise.",1,1,1,"hard","extraversion","train","extraversion","talkativeness"
"imakeamessofthings","IPIP","Q3476","AB5C","Make a mess of things","I make a mess of things.",1,1,1,"hard","conscientiousness","train","conscientiousness","purposefulness"
"imakedemandsonothers","IPIP","Q3478","AB5C","Make demands on others","I make demands on others.",1,1,1,"hard","agreeableness","train","agreeableness","provocativeness"
"imakeenemies","IPIP","Q3479","AB5C","Make enemies","I make enemies.",1,1,1,"hard","agreeableness","train","agreeableness","nurturance"
"imakeinsightfulremarks","IPIP","Q3481","AB5C","Make insightful remarks","I make insightful remarks.",1,1,1,"hard","openness","test","openness","intellect"
"imakeothersfeelgood","IPIP","Q3483","AB5C","Make others feel good","I make others feel good.",1,1,1,"hard","agreeableness","train","agreeableness","warmth"
"imakepeoplefeelwelcome","IPIP","Q3485","AB5C","Make people feel welcome","I make people feel welcome.",1,1,1,"hard","agreeableness","train","agreeableness","warmth"
"imakeplansandsticktothem","IPIP","Q3486","AB5C","Make plans and stick to them","I make plans and stick to them.",1,1,1,"hard","conscientiousness","test","conscientiousness","efficiency"
"imakerashdecisions","IPIP","Q3487","AB5C","Make rash decisions","I make rash decisions.",1,1,1,"hard","conscientiousness","train","conscientiousness","dutifulness"
"imakewellconsidereddecisions","IPIP","Q3488","AB5C","Make well-considered decisions","I make well-considered decisions.",1,1,1,"hard","conscientiousness","train","conscientiousness","organization"
"imeetchallenges","IPIP","Q3489","AB5C","Meet challenges","I meet challenges.",1,1,1,"hard","conscientiousness","test","conscientiousness","competence"
"imessthingsup","IPIP","Q3490","AB5C","Mess things up","I mess things up.",1,1,1,"hard","conscientiousness","train","conscientiousness","purposefulness"
"ineedacreativeoutlet","IPIP","Q3491","AB5C","Need a creative outlet","I need a creative outlet.",1,1,1,"hard","openness","train","openness","imagination"
"ineedalotoftimetodothings","IPIP","Q3492","AB5C","Need a lot of time to do things","I need a lot of time to do things.",1,1,1,"hard","extraversion","train","extraversion","assertiveness"
"ineedthingsexplainedonlyonce","IPIP","Q3494","AB5C","Need things explained only once","I need things explained only once.",1,1,1,"hard","conscientiousness","train","conscientiousness","competence"
"ineedtounderstandmymotives","IPIP","Q3495","AB5C","Need to understand my motives","I need to understand my motives.",1,1,1,"hard","openness","train","openness","depth"
"ineverchallengethings","IPIP","Q3497","AB5C","Never challenge things","I never challenge things.",1,1,1,"hard","openness","test","openness","depth"
"ineverspendmorethanicanafford","IPIP","Q3498","AB5C","Never spend more than I can afford","I never spend more than I can afford.",1,1,1,"hard","conscientiousness","train","conscientiousness","cautiousness"
"ineversplurge","IPIP","Q3499","AB5C","Never splurge","I never splurge.",1,1,1,"hard","conscientiousness","train","conscientiousness","cautiousness"
"ineverstoptalking","IPIP","Q3500","AB5C","Never stop talking","I never stop talking.",1,1,1,"hard","extraversion","train","extraversion","talkativeness"
"ioftenfeeluncomfortablearoundothers","IPIP","Q3502","AB5C","Often feel uncomfortable around others","I often feel uncomfortable around others.",1,1,1,"hard","extraversion","train","extraversion","poise"
"ioftenmakelastminuteplans","IPIP","Q3505","AB5C","Often make last-minute plans","I often make last-minute plans.",1,1,1,"hard","conscientiousness","train","conscientiousness","cautiousness"
"ionlyfeelcomfortablewithfriends","IPIP","Q3506","AB5C","Only feel comfortable with friends","I only feel comfortable with friends.",1,1,1,"hard","neuroticism","train","neuroticism","poise"
"ionlytalkaboutmyowninterests","IPIP","Q3507","AB5C","Only talk about my own interests","I only talk about my own interests.",1,1,1,"hard","agreeableness","train","agreeableness","morality"
"iopposeauthority","IPIP","Q3508","AB5C","Oppose authority","I oppose authority.",1,1,1,"hard","conscientiousness","train","conscientiousness","nurturance"
"ioverestimatemyachievements","IPIP","Q3509","AB5C","Overestimate my achievements","I overestimate my achievements.",1,1,1,"hard","agreeableness","train","agreeableness","morality"
"iamsensitivetotheneedsofothers","IPIP","Q351","HEXACO","Am sensitive to the needs of others","I am sensitive to the needs of others.",0,1,1,"hard","agreeableness","train","agreeableness","sentimentality"
"igetupseteasily","IPIP","Q3510","AB5C","Get upset easily","I get upset easily.",1,1,1,"hard","neuroticism","train","neuroticism","stability"
"iplaytricksonothers","IPIP","Q3513","AB5C","Play tricks on others","I play tricks on others.",1,1,1,"hard","agreeableness","train","agreeableness","cooperation"
"ipostponedecisions","IPIP","Q3514","AB5C","Postpone decisions","I postpone decisions.",1,1,1,"hard","conscientiousness","test","conscientiousness","efficiency"
"iprefertobealone","IPIP","Q3515","AB5C","Prefer to be alone","I prefer to be alone.",1,1,1,"hard","extraversion","train","extraversion","introspection/private self-consciousness"
"iprefertodealwithstrangersinaformalmanner","IPIP","Q3516","AB5C","Prefer to deal with strangers in a formal manner","I prefer to deal with strangers in a formal manner.",1,1,1,"hard","extraversion","train","extraversion","self-disclosure"
"iprefervarietytoroutine","IPIP","Q3517","AB5C","Prefer variety to routine","I prefer variety to routine.",1,1,1,"hard","openness","train","openness","imagination"
"ipretendtobeconcernedforothers","IPIP","Q3518","AB5C","Pretend to be concerned for others","I pretend to be concerned for others.",1,1,1,"hard","agreeableness","train","agreeableness","empathy"
"ipurchaseonlypracticalthings","IPIP","Q3519","AB5C","Purchase only practical things","I purchase only practical things.",1,1,1,"hard","conscientiousness","train","conscientiousness","cautiousness"
"iputlittletimeandeffortintomywork","IPIP","Q3520","AB5C","Put little time and effort into my work","I put little time and effort into my work.",1,1,1,"hard","conscientiousness","train","conscientiousness","organization"
"iputoffunpleasanttasks","IPIP","Q3521","AB5C","Put off unpleasant tasks","I put off unpleasant tasks.",1,1,1,"hard","conscientiousness","test","conscientiousness","conscientiousness"
"iquicklygettheideaofthings","IPIP","Q3523","AB5C","Quickly get the idea of things","I quickly get the idea of things.",1,1,1,"hard","openness","train","openness","quickness"
"iquicklythinkupnewideas","IPIP","Q3524","AB5C","Quickly think up new ideas","I quickly think up new ideas.",1,1,1,"hard","openness","train","openness","ingenuity"
"iradiatejoy","IPIP","Q3525","AB5C","Radiate joy","I radiate joy.",1,1,1,"hard","extraversion","train","extraversion","friendliness"
"ihavecryingfits","IPIP","Q3526","AB5C","Have crying fits","I have crying fits.",1,1,1,"hard","neuroticism","train","neuroticism","imperturbability"
"irarelylookforadeepermeaninginthings","IPIP","Q3527","AB5C","Rarely look for a deeper meaning in things","I rarely look for a deeper meaning in things.",1,1,1,"hard","openness","test","openness","depth"
"ihavedayswheniammadattheworld","IPIP","Q3528","AB5C","Have days when I'm mad at the world","I have days when I am mad at the world.",1,1,1,"hard","neuroticism","test","neuroticism","calmness"
"ifeelsympathyforthosewhoareworseoffthanmyself","IPIP","Q353","AB5C","Feel sympathy for those who are worse off than myself","I feel sympathy for those who are worse off than myself.",1,1,1,"hard","agreeableness","train","agreeableness","sympathy"
"irarelysmile","IPIP","Q3530","AB5C","Rarely smile","I rarely smile.",1,1,1,"hard","agreeableness","test","agreeableness","warmth"
"ikeepupanappearance","IPIP","Q3531","AB5C","Keep up an appearance","I keep up an appearance.",1,1,1,"hard","neuroticism","test","neuroticism","cool-headedness"
"ireasonlogically","IPIP","Q3532","AB5C","Reason logically","I reason logically.",1,1,1,"hard","conscientiousness","train","conscientiousness","rationality"
"ireassureothers","IPIP","Q3533","AB5C","Reassure others","I reassure others.",1,1,1,"hard","agreeableness","train","agreeableness","sympathy"
"iliketogossip","IPIP","Q3534","AB5C","Like to gossip","I like to gossip.",1,1,1,"hard","neuroticism","train","neuroticism","impulse-control"
"iremembermyfriendsbirthdays","IPIP","Q3535","AB5C","Remember my friends' birthdays","I remember my friends birthdays.",1,1,1,"hard","agreeableness","train","agreeableness","tenderness"
"irespectauthority","IPIP","Q3536","AB5C","Respect authority","I respect authority.",1,1,1,"hard","conscientiousness","test","conscientiousness","morality"
"irespectothersfeelings","IPIP","Q3537","AB5C","Respect others' feelings","I respect others feelings.",1,1,1,"hard","agreeableness","train","agreeableness","understanding"
"irespectothers","IPIP","Q3538","AB5C","Respect others","I respect others.",1,1,1,"hard","agreeableness","train","agreeableness","pleasantness"
"irespecttheprivacyofothers","IPIP","Q3539","AB5C","Respect the privacy of others","I respect the privacy of others.",1,1,1,"hard","agreeableness","train","agreeableness","morality"
"ithinkofothersfirst","IPIP","Q354","AB5C","Think of others first","I think of others first.",1,1,1,"hard","agreeableness","test","agreeableness","nurturance"
"iretreatfromothers","IPIP","Q3540","AB5C","Retreat from others","I retreat from others.",1,1,1,"hard","extraversion","train","extraversion","poise"
"ireturnborroweditems","IPIP","Q3541","AB5C","Return borrowed items","I return borrowed items.",1,1,1,"hard","conscientiousness","train","conscientiousness","conscientiousness"
"ireveallittleaboutmyself","IPIP","Q3542","AB5C","Reveal little about myself","I reveal little about myself.",1,1,1,"hard","extraversion","train","extraversion","friendliness"
